ping_number,timestamp,latitude,longitude,heading,speed_knots,altitude,depth,slant_range,cable_out
22,2024-01-15T10:00:02.200000+00:00,27.800030095867132,-82.49996597725709,45.366430923923005,4.0,15.0,2.0,150.0,50.0
23,2024-01-15T10:00:02.300000+00:00,27.800031404383095,-82.49996449800719,44.72966395488138,4.0,15.0,2.0,150.0,50.0
24,2024-01-15T10:00:02.400000+00:00,27.800032712899057,-82.49996301875727,44.863890380962616,4.0,15.0,2.0,150.0,50.0
25,2024-01-15T10:00:02.500000+00:00,27.80003402141502,-82.49996153950732,45.024069912723185,4.0,15.0,2.0,150.0,50.0
26,2024-01-15T10:00:02.600000+00:00,27.80003532993098,-82.49996006025737,44.62256901068266,4.0,15.0,2.0,150.0,50.0
27,2024-01-15T10:00:02.700000+00:00,27.800036638446944,-82.49995858100739,45.1656660015183,4.0,15.0,2.0,150.0,50.0
28,2024-01-15T10:00:02.800000+00:00,27.800037946962906,-82.4999571017574,45.66827318762107,4.0,15.0,2.0,150.0,50.0
29,2024-01-15T10:00:02.900000+00:00,27.80003925547887,-82.49995562250739,44.59342755193462,4.0,15.0,2.0,150.0,50.0
30,2024-01-15T10:00:03+00:00,27.80004056399483,-82.49995414325736,44.40554007613402,4.0,15.0,2.0,150.0,50.0
31,2024-01-15T10:00:03.100000+00:00,27.800041872510793,-82.49995266400731,45.086473123674324,4.0,15.0,2.0,150.0,50.0
32,2024-01-15T10:00:03.200000+00:00,27.800043181026755,-82.49995118475724,44.96426300667463,4.0,15.0,2.0,150.0,50.0
33,2024-01-15T10:00:03.300000+00:00,27.800044489542717,-82.49994970550715,45.54129897957586,4.0,15.0,2.0,150.0,50.0
34,2024-01-15T10:00:03.400000+00:00,27.80004579805868,-82.49994822625705,44.9518913462829,4.0,15.0,2.0,150.0,50.0
35,2024-01-15T10:00:03.500000+00:00,27.80004710657464,-82.49994674700693,44.984802085905386,4.0,15.0,2.0,150.0,50.0
36,2024-01-15T10:00:03.600000+00:00,27.800048415090604,-82.49994526775679,44.94273783311962,4.0,15.0,2.0,150.0,50.0
37,2024-01-15T10:00:03.700000+00:00,27.800049723606566,-82.49994378850663,44.70281812849551,4.0,15.0,2.0,150.0,50.0
38,2024-01-15T10:00:03.800000+00:00,27.80005103212253,-82.49994230925645,45.20190899520762,4.0,15.0,2.0,150.0,50.0
39,2024-01-15T10:00:03.900000+00:00,27.80005234063849,-82.49994083000627,44.60277526065839,4.0,15.0,2.0,150.0,50.0
40,2024-01-15T10:00:04+00:00,27.800053649154453,-82.49993935075605,45.34994704147156,4.0,15.0,2.0,150.0,50.0
41,2024-01-15T10:00:04.100000+00:00,27.800054957670415,-82.49993787150582,45.00251285385061,4.0,15.0,2.0,150.0,50.0
42,2024-01-15T10:00:04.200000+00:00,27.800056266186377,-82.49993639225558,45.15108901691355,4.0,15.0,2.0,150.0,50.0
43,2024-01-15T10:00:04.300000+00:00,27.80005757470234,-82.49993491300532,44.834170590863785,4.0,15.0,2.0,150.0,50.0
44,2024-01-15T10:00:04.400000+00:00,27.800058883218302,-82.49993343375503,44.72394189964994,4.0,15.0,2.0,150.0,50.0
45,2024-01-15T10:00:04.500000+00:00,27.800060191734264,-82.49993195450473,45.54007900813239,4.0,15.0,2.0,150.0,50.0
46,2024-01-15T10:00:04.600000+00:00,27.800061500250226,-82.49993047525442,45.14056493467584,4.0,15.0,2.0,150.0,50.0
47,2024-01-15T10:00:04.700000+00:00,27.80006280876619,-82.49992899600409,45.3621009538096,4.0,15.0,2.0,150.0,50.0
48,2024-01-15T10:00:04.800000+00:00,27.80006411728215,-82.49992751675373,45.056136869339944,4.0,15.0,2.0,150.0,50.0
49,2024-01-15T10:00:04.900000+00:00,27.800065425798113,-82.49992603750336,45.78348225817681,4.0,15.0,2.0,150.0,50.0
50,2024-01-15T10:00:05+00:00,27.800066734314075,-82.49992455825297,45.107250014509326,4.0,15.0,2.0,150.0,50.0
51,2024-01-15T10:00:05.100000+00:00,27.800068042830038,-82.49992307900257,44.69105855863908,4.0,15.0,2.0,150.0,50.0
52,2024-01-15T10:00:05.200000+00:00,27.800069351346,-82.49992159975214,45.230552729086256,4.0,15.0,2.0,150.0,50.0
53,2024-01-15T10:00:05.300000+00:00,27.800070659861962,-82.4999201205017,45.127589734757294,4.0,15.0,2.0,150.0,50.0
54,2024-01-15T10:00:05.400000+00:00,27.800071968377924,-82.49991864125124,44.30365500795223,4.0,15.0,2.0,150.0,50.0
55,2024-01-15T10:00:05.500000+00:00,27.800073276893887,-82.49991716200077,44.96522873128161,4.0,15.0,2.0,150.0,50.0
56,2024-01-15T10:00:05.600000+00:00,27.80007458540985,-82.49991568275027,45.294059706355206,4.0,15.0,2.0,150.0,50.0
57,2024-01-15T10:00:05.700000+00:00,27.80007589392581,-82.49991420349976,45.24034951203503,4.0,15.0,2.0,150.0,50.0
58,2024-01-15T10:00:05.800000+00:00,27.800077202441773,-82.49991272424923,44.8981693775061,4.0,15.0,2.0,150.0,50.0
59,2024-01-15T10:00:05.900000+00:00,27.800078510957736,-82.49991124499869,44.63621273548584,4.0,15.0,2.0,150.0,50.0
60,2024-01-15T10:00:06+00:00,27.800079819473698,-82.49990976574811,45.14738806479223,4.0,15.0,2.0,150.0,50.0
61,2024-01-15T10:00:06.100000+00:00,27.80008112798966,-82.49990828649753,44.65625161624838,4.0,15.0,2.0,150.0,50.0
62,2024-01-15T10:00:06.200000+00:00,27.800082436505622,-82.49990680724693,45.39740359872314,4.0,15.0,2.0,150.0,50.0
63,2024-01-15T10:00:06.300000+00:00,27.800083745021585,-82.49990532799632,44.90811973602099,4.0,15.0,2.0,150.0,50.0
64,2024-01-15T10:00:06.400000+00:00,27.800085053537547,-82.49990384874567,44.72255429895774,4.0,15.0,2.0,150.0,50.0
65,2024-01-15T10:00:06.500000+00:00,27.80008636205351,-82.49990236949502,44.8297002240019,4.0,15.0,2.0,150.0,50.0
66,2024-01-15T10:00:06.600000+00:00,27.80008767056947,-82.49990089024435,44.756733356080495,4.0,15.0,2.0,150.0,50.0
67,2024-01-15T10:00:06.700000+00:00,27.800088979085434,-82.49989941099366,44.83178480625472,4.0,15.0,2.0,150.0,50.0
68,2024-01-15T10:00:06.800000+00:00,27.800090287601396,-82.49989793174295,44.77908476885878,4.0,15.0,2.0,150.0,50.0
69,2024-01-15T10:00:06.900000+00:00,27.80009159611736,-82.49989645249222,44.886297442989886,4.0,15.0,2.0,150.0,50.0
70,2024-01-15T10:00:07+00:00,27.80009290463332,-82.49989497324148,45.07169090977095,4.0,15.0,2.0,150.0,50.0
71,2024-01-15T10:00:07.100000+00:00,27.800094213149283,-82.49989349399073,45.17906672183906,4.0,15.0,2.0,150.0,50.0
72,2024-01-15T10:00:07.200000+00:00,27.800095521665245,-82.49989201473994,44.66692701764171,4.0,15.0,2.0,150.0,50.0
73,2024-01-15T10:00:07.300000+00:00,27.800096830181207,-82.49989053548914,44.714538618130206,4.0,15.0,2.0,150.0,50.0
74,2024-01-15T10:00:07.400000+00:00,27.80009813869717,-82.49988905623833,44.87125424720956,4.0,15.0,2.0,150.0,50.0
75,2024-01-15T10:00:07.500000+00:00,27.80009944721313,-82.4998875769875,45.01912367783747,4.0,15.0,2.0,150.0,50.0
76,2024-01-15T10:00:07.600000+00:00,27.800100755729094,-82.49988609773665,45.0293188115187,4.0,15.0,2.0,150.0,50.0
77,2024-01-15T10:00:07.700000+00:00,27.800102064245056,-82.49988461848578,44.38680554133917,4.0,15.0,2.0,150.0,50.0
78,2024-01-15T10:00:07.800000+00:00,27.80010337276102,-82.4998831392349,45.51120820520813,4.0,15.0,2.0,150.0,50.0
79,2024-01-15T10:00:07.900000+00:00,27.80010468127698,-82.499881659984,44.7329417944943,4.0,15.0,2.0,150.0,50.0
80,2024-01-15T10:00:08+00:00,27.800105989792943,-82.49988018073307,45.54509665848918,4.0,15.0,2.0,150.0,50.0
81,2024-01-15T10:00:08.100000+00:00,27.800107298308905,-82.49987870148213,44.59432349477798,4.0,15.0,2.0,150.0,50.0
82,2024-01-15T10:00:08.200000+00:00,27.800108606824868,-82.49987722223118,44.71074850466593,4.0,15.0,2.0,150.0,50.0
83,2024-01-15T10:00:08.300000+00:00,27.80010991534083,-82.49987574298021,44.92456951356451,4.0,15.0,2.0,150.0,50.0
84,2024-01-15T10:00:08.400000+00:00,27.800111223856792,-82.49987426372921,44.93319746600853,4.0,15.0,2.0,150.0,50.0
85,2024-01-15T10:00:08.500000+00:00,27.800112532372754,-82.4998727844782,44.76852650324063,4.0,15.0,2.0,150.0,50.0
86,2024-01-15T10:00:08.600000+00:00,27.800113840888717,-82.49987130522717,45.22046855737197,4.0,15.0,2.0,150.0,50.0
87,2024-01-15T10:00:08.700000+00:00,27.80011514940468,-82.49986982597613,44.45938976588293,4.0,15.0,2.0,150.0,50.0
88,2024-01-15T10:00:08.800000+00:00,27.80011645792064,-82.49986834672507,45.31651731894151,4.0,15.0,2.0,150.0,50.0
89,2024-01-15T10:00:08.900000+00:00,27.800117766436603,-82.49986686747398,44.754608100870406,4.0,15.0,2.0,150.0,50.0
90,2024-01-15T10:00:09+00:00,27.800119074952566,-82.49986538822289,45.37547989635765,4.0,15.0,2.0,150.0,50.0
91,2024-01-15T10:00:09.100000+00:00,27.800120383468528,-82.49986390897178,44.87738561514622,4.0,15.0,2.0,150.0,50.0
92,2024-01-15T10:00:09.200000+00:00,27.80012169198449,-82.49986242972064,44.58028303445316,4.0,15.0,2.0,150.0,50.0
93,2024-01-15T10:00:09.300000+00:00,27.800123000500452,-82.49986095046948,45.134734409517336,4.0,15.0,2.0,150.0,50.0
94,2024-01-15T10:00:09.400000+00:00,27.800124309016415,-82.49985947121831,45.669051302254346,4.0,15.0,2.0,150.0,50.0
95,2024-01-15T10:00:09.500000+00:00,27.800125617532377,-82.49985799196713,44.984265905324946,4.0,15.0,2.0,150.0,50.0
96,2024-01-15T10:00:09.600000+00:00,27.80012692604834,-82.49985651271592,45.033445480584234,4.0,15.0,2.0,150.0,50.0
97,2024-01-15T10:00:09.700000+00:00,27.8001282345643,-82.4998550334647,44.88018777384722,4.0,15.0,2.0,150.0,50.0
98,2024-01-15T10:00:09.800000+00:00,27.800129543080264,-82.49985355421346,44.73704152947651,4.0,15.0,2.0,150.0,50.0
99,2024-01-15T10:00:09.900000+00:00,27.800130851596226,-82.4998520749622,44.77460206394006,4.0,15.0,2.0,150.0,50.0
100,2024-01-15T10:00:10+00:00,27.800132160112188,-82.49985059571092,44.60378513779952,4.0,15.0,2.0,150.0,50.0
101,2024-01-15T10:00:10.100000+00:00,27.80013346862815,-82.49984911645963,44.577290498603524,4.0,15.0,2.0,150.0,50.0
102,2024-01-15T10:00:10.200000+00:00,27.800134777144113,-82.49984763720832,45.02128140509809,4.0,15.0,2.0,150.0,50.0
103,2024-01-15T10:00:10.300000+00:00,27.800136085660075,-82.49984615795698,45.48602742861141,4.0,15.0,2.0,150.0,50.0
104,2024-01-15T10:00:10.400000+00:00,27.800137394176037,-82.49984467870563,45.15692868950776,4.0,15.0,2.0,150.0,50.0
105,2024-01-15T10:00:10.500000+00:00,27.800138702692,-82.49984319945426,45.142136343730506,4.0,15.0,2.0,150.0,50.0
106,2024-01-15T10:00:10.600000+00:00,27.80014001120796,-82.49984172020288,45.07458065869606,4.0,15.0,2.0,150.0,50.0
107,2024-01-15T10:00:10.700000+00:00,27.800141319723924,-82.49984024095147,44.74075815599329,4.0,15.0,2.0,150.0,50.0
108,2024-01-15T10:00:10.800000+00:00,27.800142628239886,-82.49983876170005,45.055593954187636,4.0,15.0,2.0,150.0,50.0
109,2024-01-15T10:00:10.900000+00:00,27.80014393675585,-82.49983728244861,44.87352569372851,4.0,15.0,2.0,150.0,50.0
110,2024-01-15T10:00:11+00:00,27.80014524527181,-82.49983580319716,45.28126667495949,4.0,15.0,2.0,150.0,50.0
111,2024-01-15T10:00:11.100000+00:00,27.800146553787773,-82.49983432394568,45.36906902395601,4.0,15.0,2.0,150.0,50.0
112,2024-01-15T10:00:11.200000+00:00,27.800147862303735,-82.49983284469418,45.37612236139139,4.0,15.0,2.0,150.0,50.0
113,2024-01-15T10:00:11.300000+00:00,27.800149170819697,-82.49983136544267,45.10987375425595,4.0,15.0,2.0,150.0,50.0
114,2024-01-15T10:00:11.400000+00:00,27.80015047933566,-82.49982988619115,45.31312682103317,4.0,15.0,2.0,150.0,50.0
115,2024-01-15T10:00:11.500000+00:00,27.80015178785162,-82.4998284069396,44.80132787136049,4.0,15.0,2.0,150.0,50.0
116,2024-01-15T10:00:11.600000+00:00,27.800153096367584,-82.49982692768803,44.97051854807947,4.0,15.0,2.0,150.0,50.0
117,2024-01-15T10:00:11.700000+00:00,27.800154404883546,-82.49982544843645,44.93674198292447,4.0,15.0,2.0,150.0,50.0
118,2024-01-15T10:00:11.800000+00:00,27.80015571339951,-82.49982396918486,44.72909799099831,4.0,15.0,2.0,150.0,50.0
119,2024-01-15T10:00:11.900000+00:00,27.80015702191547,-82.49982248993324,44.69272233795134,4.0,15.0,2.0,150.0,50.0
120,2024-01-15T10:00:12+00:00,27.800158330431433,-82.4998210106816,44.734511230815116,4.0,15.0,2.0,150.0,50.0
121,2024-01-15T10:00:12.100000+00:00,27.800159638947395,-82.49981953142995,44.86271824414476,4.0,15.0,2.0,150.0,50.0
122,2024-01-15T10:00:12.200000+00:00,27.800160947463358,-82.49981805217828,44.42310803916227,4.0,15.0,2.0,150.0,50.0
123,2024-01-15T10:00:12.300000+00:00,27.80016225597932,-82.49981657292659,45.613246097317216,4.0,15.0,2.0,150.0,50.0
124,2024-01-15T10:00:12.400000+00:00,27.800163564495282,-82.49981509367488,45.06111484417653,4.0,15.0,2.0,150.0,50.0
125,2024-01-15T10:00:12.500000+00:00,27.800164873011244,-82.49981361442316,45.0142231443181,4.0,15.0,2.0,150.0,50.0
126,2024-01-15T10:00:12.600000+00:00,27.800166181527207,-82.49981213517142,45.18615187562715,4.0,15.0,2.0,150.0,50.0
127,2024-01-15T10:00:12.700000+00:00,27.80016749004317,-82.49981065591966,44.953487935450916,4.0,15.0,2.0,150.0,50.0
128,2024-01-15T10:00:12.800000+00:00,27.80016879855913,-82.49980917666788,45.14688825490423,4.0,15.0,2.0,150.0,50.0
129,2024-01-15T10:00:12.900000+00:00,27.800170107075093,-82.49980769741609,45.14486291879128,4.0,15.0,2.0,150.0,50.0
130,2024-01-15T10:00:13+00:00,27.800171415591056,-82.49980621816428,45.221115107835075,4.0,15.0,2.0,150.0,50.0
131,2024-01-15T10:00:13.100000+00:00,27.800172724107018,-82.49980473891245,44.33018531521253,4.0,15.0,2.0,150.0,50.0
132,2024-01-15T10:00:13.200000+00:00,27.80017403262298,-82.4998032596606,45.31268518004073,4.0,15.0,2.0,150.0,50.0
133,2024-01-15T10:00:13.300000+00:00,27.800175341138942,-82.49980178040873,45.04506824477013,4.0,15.0,2.0,150.0,50.0
134,2024-01-15T10:00:13.400000+00:00,27.800176649654905,-82.49980030115685,45.18701265018394,4.0,15.0,2.0,150.0,50.0
135,2024-01-15T10:00:13.500000+00:00,27.800177958170867,-82.49979882190495,45.13858463176111,4.0,15.0,2.0,150.0,50.0
136,2024-01-15T10:00:13.600000+00:00,27.80017926668683,-82.49979734265303,45.07889881584049,4.0,15.0,2.0,150.0,50.0
137,2024-01-15T10:00:13.700000+00:00,27.80018057520279,-82.49979586340109,45.42563928888329,4.0,15.0,2.0,150.0,50.0
138,2024-01-15T10:00:13.800000+00:00,27.800181883718754,-82.49979438414914,44.88851733607691,4.0,15.0,2.0,150.0,50.0
139,2024-01-15T10:00:13.900000+00:00,27.800183192234716,-82.49979290489716,45.15284822997984,4.0,15.0,2.0,150.0,50.0
140,2024-01-15T10:00:14+00:00,27.800184500750678,-82.49979142564517,44.914983945151185,4.0,15.0,2.0,150.0,50.0
141,2024-01-15T10:00:14.100000+00:00,27.80018580926664,-82.49978994639316,44.998057143982926,4.0,15.0,2.0,150.0,50.0
142,2024-01-15T10:00:14.200000+00:00,27.800187117782603,-82.49978846714114,45.72040521177432,4.0,15.0,2.0,150.0,50.0
143,2024-01-15T10:00:14.300000+00:00,27.800188426298565,-82.4997869878891,45.52980310728106,4.0,15.0,2.0,150.0,50.0
144,2024-01-15T10:00:14.400000+00:00,27.800189734814527,-82.49978550863703,45.08845027241701,4.0,15.0,2.0,150.0,50.0
145,2024-01-15T10:00:14.500000+00:00,27.80019104333049,-82.49978402938495,45.268518833958844,4.0,15.0,2.0,150.0,50.0
146,2024-01-15T10:00:14.600000+00:00,27.80019235184645,-82.49978255013286,44.933930485016184,4.0,15.0,2.0,150.0,50.0
147,2024-01-15T10:00:14.700000+00:00,27.800193660362414,-82.49978107088074,44.43111807420617,4.0,15.0,2.0,150.0,50.0
148,2024-01-15T10:00:14.800000+00:00,27.800194968878376,-82.49977959162861,45.15933867683353,4.0,15.0,2.0,150.0,50.0
149,2024-01-15T10:00:14.900000+00:00,27.80019627739434,-82.49977811237646,44.91041334277548,4.0,15.0,2.0,150.0,50.0
150,2024-01-15T10:00:15+00:00,27.8001975859103,-82.4997766331243,44.634672459603756,4.0,15.0,2.0,150.0,50.0
151,2024-01-15T10:00:15.100000+00:00,27.800198894426263,-82.49977515387211,44.308540301932496,4.0,15.0,2.0,150.0,50.0
152,2024-01-15T10:00:15.200000+00:00,27.800200202942225,-82.4997736746199,45.42088866117487,4.0,15.0,2.0,150.0,50.0
153,2024-01-15T10:00:15.300000+00:00,27.800201511458187,-82.49977219536768,45.16070777697366,4.0,15.0,2.0,150.0,50.0
154,2024-01-15T10:00:15.400000+00:00,27.80020281997415,-82.49977071611545,45.15497339941109,4.0,15.0,2.0,150.0,50.0
155,2024-01-15T10:00:15.500000+00:00,27.800204128490112,-82.49976923686319,44.77326706034585,4.0,15.0,2.0,150.0,50.0
156,2024-01-15T10:00:15.600000+00:00,27.800205437006074,-82.49976775761091,44.99825377224878,4.0,15.0,2.0,150.0,50.0
157,2024-01-15T10:00:15.700000+00:00,27.800206745522036,-82.49976627835862,45.40434041317804,4.0,15.0,2.0,150.0,50.0
158,2024-01-15T10:00:15.800000+00:00,27.800208054038,-82.49976479910632,44.82610556700993,4.0,15.0,2.0,150.0,50.0
159,2024-01-15T10:00:15.900000+00:00,27.80020936255396,-82.49976331985398,45.06594153432591,4.0,15.0,2.0,150.0,50.0
160,2024-01-15T10:00:16+00:00,27.800210671069923,-82.49976184060164,44.69675246451074,4.0,15.0,2.0,150.0,50.0
161,2024-01-15T10:00:16.100000+00:00,27.800211979585885,-82.49976036134927,45.05464399112886,4.0,15.0,2.0,150.0,50.0
162,2024-01-15T10:00:16.200000+00:00,27.800213288101848,-82.4997588820969,44.675575203951254,4.0,15.0,2.0,150.0,50.0
163,2024-01-15T10:00:16.300000+00:00,27.80021459661781,-82.4997574028445,44.84954061427802,4.0,15.0,2.0,150.0,50.0
164,2024-01-15T10:00:16.400000+00:00,27.800215905133772,-82.49975592359208,44.89380541915171,4.0,15.0,2.0,150.0,50.0
165,2024-01-15T10:00:16.500000+00:00,27.800217213649734,-82.49975444433964,45.261256727283566,4.0,15.0,2.0,150.0,50.0
166,2024-01-15T10:00:16.600000+00:00,27.800218522165697,-82.4997529650872,45.11935259026501,4.0,15.0,2.0,150.0,50.0
167,2024-01-15T10:00:16.700000+00:00,27.80021983068166,-82.49975148583472,44.80567627244892,4.0,15.0,2.0,150.0,50.0
168,2024-01-15T10:00:16.800000+00:00,27.80022113919762,-82.49975000658223,44.955937818588694,4.0,15.0,2.0,150.0,50.0
169,2024-01-15T10:00:16.900000+00:00,27.800222447713583,-82.49974852732973,44.98236203997881,4.0,15.0,2.0,150.0,50.0
170,2024-01-15T10:00:17+00:00,27.800223756229546,-82.49974704807721,44.98563646632445,4.0,15.0,2.0,150.0,50.0
171,2024-01-15T10:00:17.100000+00:00,27.800225064745508,-82.49974556882466,44.72893500252268,4.0,15.0,2.0,150.0,50.0
172,2024-01-15T10:00:17.200000+00:00,27.80022637326147,-82.4997440895721,45.23364894613563,4.0,15.0,2.0,150.0,50.0
173,2024-01-15T10:00:17.300000+00:00,27.800227681777432,-82.49974261031953,45.068991511094666,4.0,15.0,2.0,150.0,50.0
174,2024-01-15T10:00:17.400000+00:00,27.800228990293395,-82.49974113106694,45.04599635752158,4.0,15.0,2.0,150.0,50.0
175,2024-01-15T10:00:17.500000+00:00,27.800230298809357,-82.49973965181432,45.7407764466082,4.0,15.0,2.0,150.0,50.0
176,2024-01-15T10:00:17.600000+00:00,27.80023160732532,-82.49973817256169,44.85191330638169,4.0,15.0,2.0,150.0,50.0
177,2024-01-15T10:00:17.700000+00:00,27.80023291584128,-82.49973669330905,45.19794291035533,4.0,15.0,2.0,150.0,50.0
178,2024-01-15T10:00:17.800000+00:00,27.800234224357244,-82.49973521405637,44.53945586087502,4.0,15.0,2.0,150.0,50.0
179,2024-01-15T10:00:17.900000+00:00,27.800235532873206,-82.49973373480368,45.562425979154625,4.0,15.0,2.0,150.0,50.0
180,2024-01-15T10:00:18+00:00,27.800236841389168,-82.49973225555098,44.721151765018135,4.0,15.0,2.0,150.0,50.0
181,2024-01-15T10:00:18.100000+00:00,27.80023814990513,-82.49973077629826,44.68868087843846,4.0,15.0,2.0,150.0,50.0
182,2024-01-15T10:00:18.200000+00:00,27.800239458421093,-82.49972929704552,44.936274888813806,4.0,15.0,2.0,150.0,50.0
183,2024-01-15T10:00:18.300000+00:00,27.800240766937055,-82.49972781779276,44.7096066136259,4.0,15.0,2.0,150.0,50.0
184,2024-01-15T10:00:18.400000+00:00,27.800242075453017,-82.49972633853999,44.62621988929246,4.0,15.0,2.0,150.0,50.0
185,2024-01-15T10:00:18.500000+00:00,27.80024338396898,-82.4997248592872,45.22290188615302,4.0,15.0,2.0,150.0,50.0
186,2024-01-15T10:00:18.600000+00:00,27.80024469248494,-82.49972338003438,45.196061786726624,4.0,15.0,2.0,150.0,50.0
187,2024-01-15T10:00:18.700000+00:00,27.800246001000904,-82.49972190078155,45.00187773493895,4.0,15.0,2.0,150.0,50.0
188,2024-01-15T10:00:18.800000+00:00,27.800247309516866,-82.4997204215287,44.88773887877373,4.0,15.0,2.0,150.0,50.0
189,2024-01-15T10:00:18.900000+00:00,27.80024861803283,-82.49971894227585,45.19146226988793,4.0,15.0,2.0,150.0,50.0
190,2024-01-15T10:00:19+00:00,27.80024992654879,-82.49971746302296,44.80978691168168,4.0,15.0,2.0,150.0,50.0
191,2024-01-15T10:00:19.100000+00:00,27.800251235064753,-82.49971598377006,44.77757392960105,4.0,15.0,2.0,150.0,50.0
192,2024-01-15T10:00:19.200000+00:00,27.800252543580715,-82.49971450451714,45.275632542173575,4.0,15.0,2.0,150.0,50.0
193,2024-01-15T10:00:19.300000+00:00,27.800253852096677,-82.49971302526421,44.725830072521596,4.0,15.0,2.0,150.0,50.0
194,2024-01-15T10:00:19.400000+00:00,27.80025516061264,-82.49971154601126,44.73861126549959,4.0,15.0,2.0,150.0,50.0
195,2024-01-15T10:00:19.500000+00:00,27.800256469128602,-82.49971006675828,45.15590366398236,4.0,15.0,2.0,150.0,50.0
196,2024-01-15T10:00:19.600000+00:00,27.800257777644564,-82.4997085875053,44.90692902644546,4.0,15.0,2.0,150.0,50.0
197,2024-01-15T10:00:19.700000+00:00,27.800259086160526,-82.4997071082523,44.70194103741633,4.0,15.0,2.0,150.0,50.0
198,2024-01-15T10:00:19.800000+00:00,27.80026039467649,-82.49970562899927,44.951327662925756,4.0,15.0,2.0,150.0,50.0
199,2024-01-15T10:00:19.900000+00:00,27.80026170319245,-82.49970414974622,44.920913568383654,4.0,15.0,2.0,150.0,50.0
200,2024-01-15T10:00:20+00:00,27.800263011708413,-82.49970267049316,44.78116319176605,4.0,15.0,2.0,150.0,50.0
201,2024-01-15T10:00:20.100000+00:00,27.800264320224375,-82.49970119124009,45.07823950774521,4.0,15.0,2.0,150.0,50.0
202,2024-01-15T10:00:20.200000+00:00,27.800265628740338,-82.49969971198699,45.20134658675723,4.0,15.0,2.0,150.0,50.0
203,2024-01-15T10:00:20.300000+00:00,27.8002669372563,-82.49969823273388,45.30730533519209,4.0,15.0,2.0,150.0,50.0
204,2024-01-15T10:00:20.400000+00:00,27.800268245772262,-82.49969675348075,44.61606714962124,4.0,15.0,2.0,150.0,50.0
205,2024-01-15T10:00:20.500000+00:00,27.800269554288224,-82.4996952742276,45.03078518486353,4.0,15.0,2.0,150.0,50.0
206,2024-01-15T10:00:20.600000+00:00,27.800270862804187,-82.49969379497443,45.0214496095374,4.0,15.0,2.0,150.0,50.0
207,2024-01-15T10:00:20.700000+00:00,27.80027217132015,-82.49969231572125,44.37782959884184,4.0,15.0,2.0,150.0,50.0
